page,file,overall,ease_use,friendliness,understanding,navigation,direction,info_value,words,actions,flags,jargon,dead_links,missing_files,extends,review
feedback.html,public/feedback.html,4.7,5,4,5,5,5,4,104,1,,repo,0,,True,yes
advocate_invite.html,pages/advocate_invite.html,4.8,5,5,5,5,5,4,109,3,,,0,,True,yes
counterclaim.html,pages/counterclaim.html,4.8,5,5,5,5,5,4,136,2,,,0,,True,yes
dispute_tracker.html,pages/dispute_tracker.html,4.8,5,5,5,5,5,4,124,3,,,0,,True,yes
docs_component_inventory.html,pages/docs_component_inventory.html,4.8,5,4,5,5,5,5,771,2,,,0,,True,yes
eviction_defense_calculate_deadlines.html,pages/eviction_defense_calculate_deadlines.html,4.8,5,5,4,5,5,5,195,2,,,0,,True,yes
eviction_timeline.html,pages/eviction_timeline.html,4.8,5,5,5,5,5,4,86,2,,,0,,True,yes
help.html,pages/help.html,4.8,5,4,5,5,5,5,150,3,,repo,0,,True,yes
motions.html,pages/motions.html,4.8,5,5,5,5,5,4,133,2,,,0,,True,yes
storage_connecting.html,pages/storage_connecting.html,4.8,5,5,5,5,5,4,62,1,,,0,,True,yes
tenant_capture.html,pages/tenant_capture.html,4.8,5,5,5,5,5,4,126,4,,,0,,True,yes
tenant_contacts.html,pages/tenant_contacts.html,4.8,5,5,5,5,5,4,97,4,,,0,,True,yes
tenant_my_advocate.html,pages/tenant_my_advocate.html,4.8,5,5,5,5,5,4,116,3,,,0,,True,yes
tenant_tools_deadlines.html,pages/tenant_tools_deadlines.html,4.8,5,5,5,5,4,5,303,7,,,0,,True,yes
timeline_auto_build.html,pages/timeline_auto_build.html,4.8,5,5,5,5,5,4,52,2,,,0,,True,yes
accessibility.html,public/accessibility.html,4.8,5,4,5,5,5,5,360,3,,repo,0,,True,yes
advocacy.html,public/advocacy.html,4.8,5,4,5,5,5,5,204,4,,,0,,True,yes
disclaimer.html,public/disclaimer.html,4.8,5,5,5,5,4,5,357,5,,,0,,True,yes
portal.html,public/portal.html,4.8,5,5,4,5,5,5,161,2,,,0,,True,yes
privacy.html,public/privacy.html,4.8,5,4,5,5,5,5,634,1,,subpoena,0,,True,yes
services.html,public/services.html,4.8,5,5,5,5,5,4,69,2,,,0,,True,yes
tools.html,public/tools.html,4.8,5,5,5,5,5,4,135,4,,,0,,True,yes
admin_dev_lab.html,pages/admin_dev_lab.html,5.0,5,5,5,5,5,5,217,4,,,0,,True,yes
docs_navigation_structure.html,pages/docs_navigation_structure.html,5.0,5,5,5,5,5,5,630,1,,,0,,True,yes
law_library.html,pages/law_library.html,5.0,5,5,5,5,5,5,153,4,,,0,,True,yes
complaints.html,public/complaints.html,5.0,5,5,5,5,5,5,223,1,,,0,,True,yes
help.html,public/help.html,5.0,5,5,5,5,5,5,181,2,,,0,,True,yes
legal_research.html,public/legal_research.html,5.0,5,5,5,5,5,5,162,2,,,0,,True,yes
terms.html,public/terms.html,5.0,5,5,5,5,5,5,715,2,,,0,,True,yes
